id,class
0,5
1,2
2,7
3,6
4,9
5,7
6,1
7,3
8,0
9,8
10,1
11,3
12,9
13,3
14,8
15,3
16,7
17,0
18,5
19,1
20,6
21,3
22,6
23,4
24,3
25,0
26,0
27,3
28,7
29,8
30,2
31,7
32,4
33,1
34,2
35,4
36,3
37,0
38,1
39,3
40,2
41,9
42,1
43,1
44,3
45,7
46,4
47,3
48,0
49,9
50,7
51,8
52,4
53,9
54,9
55,9
56,6
57,3
58,1
59,2
60,8
61,1
62,5
63,7
64,8
65,4
66,4
67,9
68,2
69,4
70,7
71,1
72,4
73,7
74,4
75,3
76,0
77,0
78,3
79,8
80,4
81,0
82,8
83,8
84,7
85,9
86,9
87,6
88,9
89,2
90,8
91,1
92,1
93,0
94,1
95,6
96,5
97,1
98,4
99,8
100,3
101,6
102,7
103,0
104,7
105,9
106,4
107,0
108,4
109,2
110,9
111,0
112,3
113,1
114,6
115,1
116,4
117,4
118,6
119,3
120,2
121,2
122,5
123,8
124,9
125,8
126,9
127,4
128,3
129,5
130,9
131,3
132,4
133,4
134,9
135,9
136,1
137,7
138,3
139,8
140,9
141,7
142,7
143,4
144,4
145,0
146,6
147,5
148,8
149,8
150,1
151,4
152,0
153,4
154,5
155,4
156,5
157,5
158,7
159,1
160,9
161,0
162,0
163,0
164,2
165,3
166,0
167,2
168,5
169,6
170,4
171,4
172,1
173,3
174,3
175,9
176,0
177,0
178,4
179,9
180,4
181,8
182,7
183,6
184,2
185,2
186,8
187,4
188,6
189,1
190,4
191,0
192,8
193,5
194,1
195,3
196,9
197,3
198,3
199,8
200,0
201,4
202,3
203,4
204,6
205,9
206,6
207,8
208,1
209,6
210,7
211,6
212,3
213,2
214,4
215,9
216,4
217,9
218,8
219,4
220,1
221,4
222,2
223,6
224,6
225,2
226,5
227,7
228,8
229,8
230,1
231,9
232,1
233,6
234,9
235,8
236,9
237,3
238,7
239,8
240,4
241,7
242,7
243,4
244,0
245,1
246,5
247,1
248,0
249,1
250,2
251,6
252,4
253,5
254,3
255,8
256,1
257,0
258,4
259,7
260,8
261,3
262,4
263,8
264,4
265,2
266,1
267,8
268,9
269,0
270,1
271,3
272,1
273,7
274,6
275,9
276,6
277,0
278,0
279,0
280,8
281,5
282,0
283,3
284,8
285,0
286,3
287,2
288,9
289,0
290,4
291,7
292,3
293,3
294,6
295,9
296,8
297,2
298,6
299,8
300,1
301,7
302,2
303,4
304,9
305,0
306,4
307,3
308,1
309,7
310,7
311,5
312,0
313,9
314,4
315,2
316,6
317,7
318,5
319,0
320,3
321,7
322,3
323,9
324,0
325,9
326,0
327,4
328,2
329,1
330,5
331,3
332,1
333,2
334,3
335,1
336,9
337,2
338,6
339,0
340,6
341,8
342,1
343,1
344,9
345,9
346,7
347,4
348,0
349,0
350,1
351,2
352,7
353,6
354,6
355,4
356,1
357,3
358,6
359,6
360,3
361,3
362,5
363,3
364,7
365,8
366,3
367,4
368,3
369,7
370,8
371,2
372,9
373,1
374,3
375,6
376,8
377,6
378,6
379,6
380,7
381,8
382,4
383,7
384,3
385,3
386,4
387,5
388,5
389,2
390,6
391,0
392,2
393,8
394,6
395,2
396,3
397,1
398,9
399,7
400,2
401,7
402,5
403,3
404,4
405,2
406,6
407,9
408,7
409,5
410,1
411,8
412,9
413,0
414,3
415,6
416,3
417,5
418,0
419,6
420,6
421,7
422,8
423,9
424,0
425,7
426,2
427,3
428,1
429,0
430,6
431,4
432,6
433,6
434,0
435,8
436,9
437,4
438,2
439,1
440,0
441,3
442,0
443,2
444,8
445,1
446,3
447,9
448,2
449,6
450,4
451,1
452,7
453,2
454,7
455,3
456,5
457,3
458,6
459,5
460,0
461,7
462,5
463,2
464,9
465,6
466,0
467,8
468,1
469,0
470,6
471,7
472,9
473,7
474,2
475,3
476,4
477,7
478,6
479,0
480,7
481,8
482,1
483,9
484,2
485,5
486,3
487,0
488,4
489,5
490,7
491,9
492,5
493,4
494,1
495,2
496,2
497,5
498,7
499,9
500,4
501,6
502,0
503,5
504,5
505,6
506,2
507,9
508,6
509,0
510,9
511,0
512,2
513,4
